19 Timothy Lane,Chaska,44.80908188,-93.58848502,Unserved-City
20 10th Street East,Waconia,44.84036324,-93.78521739,City
20 13th Street East,Waconia,44.83669455,-93.78606607,City
20 1st Avenue Southeast,Young America,44.78255719,-93.91475592,City
20 1st Avenue Southwest,Young America,44.78247192,-93.91764244,City
20 2nd Avenue Southeast,Young America,44.78251604,-93.91324632,City
20 2nd Avenue Southwest,Young America,44.78246587,-93.91896568,City
20 Alfred Boulevard,Waconia,44.86066895,-93.79790789,City
20 Basswood Circle,Chanhassen,44.87102487,-93.52138354,City
20 Bayview Circle,Chaska,44.81203827,-93.58987246,Unserved-City
20 Carvers Green,Chaska,44.83572593,-93.5927533,Unserved-City
20 Ehlers Avenue,Chaska,44.80087879,-93.57465747,Unserved-City
20 Elm Street South,Waconia,44.84993501,-93.78623931,City
20 Fox Hollow Drive,Chanhassen,44.88606209,-93.52201235,City
20 Hill Street,Chanhassen,44.8662041,-93.52119898,City
20 Hilltop Lane,Waconia,44.83346933,-93.787985,City
20 Janice Drive,Chaska,44.80827895,-93.58791896,Unserved-City
20 Judith Drive,Chaska,44.80779883,-93.58680916,Unserved-City
20 Kelly Road,Chaska,44.80726043,-93.58602557,Unserved-City
20 Main Street West,Waconia,44.8505826,-93.78679038,City
20 Main Street West SUITE 100,Waconia,44.85064689,-93.7867884,City
20 North Valley Road,Chaska,44.80891742,-93.58584813,Unserved-City
20 Poplar Ridge Drive,Young America,44.77502435,-93.91786218,City
20 Riley Ridge,Chanhassen,44.8421398,-93.52173585,City
20 Rita Lane,Chaska,44.81007352,-93.58876049,Unserved-City
20 River Bend Place,Chaska,44.78342479,-93.60124085,Unserved-City
20 Sandy Hook Road,Chanhassen,44.87704397,-93.52114839,City
20 Terrace Drive West,Watertown,44.96581063,-93.84198966,City-LCP
20 Thomas Lane,Chaska,44.8061676,-93.58931127,Unserved-City
20 Twin Maple Lane,Chanhassen,44.87224644,-93.52143885,City
21 1st Avenue Southwest,Young America,44.78247892,-93.91827593,City
21 Alva Court,Waconia,44.83195675,-93.78776505,City
21 Basswood Circle,Chanhassen,44.87071025,-93.52154096,City
21 Carvers Green,Chaska,44.83574045,-93.59286911,Unserved-City
21 Ehlers Avenue,Chaska,44.80110011,-93.57483788,Unserved-City
21 Judith Drive,Chaska,44.80814777,-93.58719688,Unserved-City
21 Kelly Road,Chaska,44.80746975,-93.58653636,Unserved-City
21 Lakeview Terrace Boulevard,Waconia,44.85551629,-93.79610024,City
21 Main Street East,Young America,44.78302537,-93.91591761,City
21 North Valley Road,Chaska,44.80913444,-93.58557811,Unserved-City
21 Riley Ridge,Chanhassen,44.84244688,-93.52111516,City
21 Rita Lane,Chaska,44.80969113,-93.58862652,Unserved-City
21 River Bend Place,Chaska,44.78335331,-93.60121367,Unserved-City
21 Somerset Drive,Waconia,44.8384856,-93.78759101,City
21 Terrace Drive West,Watertown,44.96596461,-93.84185177,City-LCP
21 Thomas Lane,Chaska,44.80612202,-93.58951491,Unserved-City
21 Twin Maple Lane,Chanhassen,44.87188743,-93.52141638,City
22 10th Street East,Waconia,44.84036677,-93.7850541,City
22 13th Street East,Waconia,44.83667861,-93.78597682,City
22 1st Street Northeast,Young America,44.78412823,-93.91547575,City
22 1st Street Northwest,Young America,44.78413426,-93.91745635,City
22 Alva Court,Waconia,44.83220995,-93.78790735,City
22 Bayview Circle,Chaska,44.81209988,-93.58981669,Unserved-City
22 Carvers Green,Chaska,44.83574381,-93.59297693,Unserved-City
22 Ehlers Avenue,Chaska,44.8009387,-93.57451942,Unserved-City
22 Janice Drive,Chaska,44.80798778,-93.58804876,Unserved-City
22 Judith Drive,Chaska,44.80765776,-93.58691405,Unserved-City
22 Kelly Road,Chaska,44.80719324,-93.5862727,Unserved-City
22 North Valley Road,Chaska,44.8090109,-93.58600535,Unserved-City
22 Poplar Ridge Drive,Young America,44.77498502,-93.91786507,City
22 Riley Ridge,Chanhassen,44.84219178,-93.52182907,City
22 Rita Lane,Chaska,44.81009263,-93.58853319,Unserved-City
22 River Bend Place,Chaska,44.78328183,-93.60118652,Unserved-City
22 Somerset Drive,Waconia,44.83889075,-93.78723554,City
22 Terrace Drive West,Watertown,44.96601265,-93.84172728,City-LCP
22 Thomas Lane,Chaska,44.80609084,-93.58965285,Unserved-City
22 Trilane Drive,Young America,44.78664269,-93.91785639,City
23 1st Street West,Waconia,44.84916896,-93.78686785,City
23 2nd Avenue Southwest,Young America,44.78231869,-93.91954432,City
23 3rd Avenue Southeast,Young America,44.78236647,-93.91237478,City
23 Carvers Green,Chaska,44.8357582,-93.59308396,Unserved-City
23 Central Avenue South,Young America,44.78231244,-93.91689111,City
23 Ehlers Avenue,Chaska,44.80118196,-93.57476491,Unserved-City
23 Judith Drive,Chaska,44.80801393,-93.58718216,Unserved-City
23 Kelly Road,Chaska,44.80729952,-93.58686818,Unserved-City
23 North Valley Road,Chaska,44.80932949,-93.58574618,Unserved-City
23 Riley Ridge,Chanhassen,44.8425607,-93.52110505,City
23 River Bend Place,Chaska,44.78319045,-93.60115208,Unserved-City
23 Somerset Drive,Waconia,44.83848567,-93.78768541,City
23 Terrace Drive West,Watertown,44.96613227,-93.84156225,City-LCP
23 Thomas Lane,Chaska,44.80601813,-93.58974823,Unserved-City
24 13th Street East,Waconia,44.83667808,-93.78588754,City
24 1st Avenue Southwest,Young America,44.78224187,-93.91766462,City
24 1st Street West,Waconia,44.84956082,-93.78699252,City
24 2nd Avenue Southeast,Young America,44.78234903,-93.91315081,City
24 2nd Avenue Southwest,Young America,44.78224523,-93.91896218,City
24 2nd Street West,Waconia,44.84843027,-93.7869373,City
24 3rd Avenue Southeast,Young America,44.78249428,-93.91174309,City
24 3rd Street East,Waconia,44.84688858,-93.78524886,City
24 3rd Street West,Waconia,44.84693368,-93.78671439,City
24 Bayview Circle,Chaska,44.81231943,-93.58969559,Unserved-City
24 Carvers Green,Chaska,44.83575012,-93.59317728,Unserved-City
